127.0.0.1 : 21000:0	 Eventual time: 	1415801527303	 Dep numbers: 	0
null	 Causal time: 	1415801527316	 Dep numbers: 	0
127.0.0.1 : 21000:1	 Eventual time: 	1415801527319	 Dep numbers: 	0
null	 Causal time: 	1415801527322	 Dep numbers: 	0
127.0.0.1 : 21000:2	 Eventual time: 	1415801527324	 Dep numbers: 	0
null	 Causal time: 	1415801527326	 Dep numbers: 	0
127.0.0.1 : 21000:3	 Eventual time: 	1415801527329	 Dep numbers: 	0
null	 Causal time: 	1415801527331	 Dep numbers: 	0
127.0.0.1 : 21000:4	 Eventual time: 	1415801527334	 Dep numbers: 	0
null	 Causal time: 	1415801527336	 Dep numbers: 	0
127.0.0.1 : 21000:5	 Eventual time: 	1415801527338	 Dep numbers: 	0
null	 Causal time: 	1415801527340	 Dep numbers: 	0
127.0.0.1 : 21000:6	 Eventual time: 	1415801527343	 Dep numbers: 	0
null	 Causal time: 	1415801527345	 Dep numbers: 	0
127.0.0.1 : 21000:7	 Eventual time: 	1415801527347	 Dep numbers: 	0
null	 Causal time: 	1415801527349	 Dep numbers: 	0
127.0.0.1 : 21000:8	 Eventual time: 	1415801527351	 Dep numbers: 	0
null	 Causal time: 	1415801527354	 Dep numbers: 	0
127.0.0.1 : 21000:9	 Eventual time: 	1415801527356	 Dep numbers: 	0
null	 Causal time: 	1415801527359	 Dep numbers: 	0
127.0.0.1 : 21000:10	 Eventual time: 	1415801527361	 Dep numbers: 	0
null	 Causal time: 	1415801527364	 Dep numbers: 	0
127.0.0.1 : 21000:11	 Eventual time: 	1415801527366	 Dep numbers: 	0
null	 Causal time: 	1415801527368	 Dep numbers: 	0
127.0.0.1 : 21000:12	 Eventual time: 	1415801527370	 Dep numbers: 	0
null	 Causal time: 	1415801527373	 Dep numbers: 	0
127.0.0.1 : 21000:13	 Eventual time: 	1415801527375	 Dep numbers: 	0
null	 Causal time: 	1415801527378	 Dep numbers: 	0
127.0.0.1 : 21000:14	 Eventual time: 	1415801527380	 Dep numbers: 	0
null	 Causal time: 	1415801527382	 Dep numbers: 	0
127.0.0.1 : 21000:15	 Eventual time: 	1415801527385	 Dep numbers: 	0
null	 Causal time: 	1415801527389	 Dep nunull	 Ack t127.0.0.1 : 21000:16	 Eventual time: 	null	 Ack time: 	1415801527394	 Dep numbers: 	0
null	 Ack time: 	1415801527399	 Dep numbers: 	0
127.0.0.1 : 21000:18	 Issue time: 	1415801527489	 Dep numbers: 	12
null	 Ack time: 	1415801527496	 Dep numbers: 	0
127.0.0.1 : 21000:19	 Issue time: 	1415801527525	 Dep numbers: 	9
127.0.0.1 : 21000:20	 Issue time: 	1415801527530	 Dep numbers: 	9
null	 Ack time: 	1415801527533	 Dep numbers: 	0
null	 Ack time: 	1415801527539	 Dep numbers: 	0
127.0.0.1 : 21000:21	 Issue time: 	1415801527541	 Dep numbers: 	1
127.0.0.1 : 21000:22	 Issue time: 	1415801527543	 Dep numbe127.0.0.null	 Ack time: 	1415801527547	 Dep numbers: 	0
null	 Ack time: 	1415801527553	 Dep numbers: 	0
127.0.0.1 : 21000:23	 Issue time: 	1415801527630	 Dep numbers: 	12
null	 Ack time: 	1415801527638	 Dep numbers: 	0
127.0.0.1 : 21000:24	 Issue time: 	1415801527662	 Dep numbers: 	1
127.0.0.1 : 21000:25	 Issue time: 	1415801527666	 Dep numbers: 	7
null	 Ack time: 	1415801527666	 Dep numbers: 	0
null	 Ack time: 	1415801527675	 Dep numbers: 	0
127.0.0.1 : 21000:26	 Issue time: 	1415801527833	 Dep numbers: 	5
null	 Ack time: 	1415801527849	 Dep numbers: 	0
127.0.0.1 : 21000:27	 Issue time: 	1415801527851	 Dep numbers: 	1
null	 Ack time: 	1415801527869	 Dep numbers: 	0
127.0.0.1 : 21000:28	 Issue time: 	1415801527879	 Dep numbers: 	19
null	 Ack time: 	1415801527889	 Dep numbers: 	0
127.0.0.1 : 21000:29	 Issue time: 	1415801527895	 Dep numbers: 	10
null	 Ack time: 	1415801527903	 Dep numbers: 	0
127.0.0.1 : 21000:30	 Issue time: 	1415801527916	 Dep numbers: 	19
127.0.0.1 : 21000:31	 Issue time: 	1415801527924	 Dep numbers: 	16
null	 Ack time: 	1415801527927	 Dep numbers: 	0
null	 Ack time: 	1415801527932	 Dep numbers: 	0
127.0.0.1 : 21000:32	 Issue time: 	1415801527946	 Dep numbers: 	16
null	 Ack time: 	1415801527957	 Dep numbers: 	0
127.0.0.1 : 21000:33	 Issue time: 	1415801527983	 Dep numbers: 	26
127.0.0.1 : 21000:34	 Issue time: 	1415801527993	 Dep numbers: 	9
null	 Ack time: 	1415801527996	 Dep numbers: 	0
null	 Ack time: 	1415801528000	 Dep numbers: 	0
127.0.0.1 : 21000:35	 Issue time: 	1415801528017	 Dep numbers: 	3
null	 Ack time: 	1415801528022	 Dep numbers: 	0
127.0.0.1 : 21000:36	 Issue time: 	1415801528051	 Dep numbers: 	18
null	 Ack time: 	1415801528062	 Dep numbers: 	0
127.0.0.1 : 21000:37	 Issue time: 	1415801528205	 Dep numbers: 	11
null	 Ack time: 	1415801528212	 Dep numbers: 	0
127.0.0.1 : 21000:38	 Issue time: 	1415801528222	 Dep numbers: 	3
null	 Ack time: 	1415801528227	 Dep numbers: 	0
127.0.0.1 : 21000:39	 Issue time: 	1415801528257	 Dep numbers: 	6
null	 Ack time: 	1415801528264	 Dep numbers: 	0
127.0.0.1 : 21000:40	 Issue time: 	1415801528300	 Dep numbers: 	4
127.0.0.1 : 21000:41	 Issue time: 	1415801528304	 Dep numbers: 	4
null	 Ack time: 	1415801528307	 Dep numbers: 	0
null	 Ack time: 	1415801528312	 Dep numbers: 	0
127.0.0.1 : 21000:42	 Issue time: 	1415801528325	 Dep numbers: 	23
null	 Ack time: 	1415801528340	 Dep numbers: 	0
127.0.0.1 : 21000:43	 Issue time: 	1415801528346	 Dep numbers: 	9
null	 Ack time: 	1415801528355	 Dep numbers: 	0
127.0.0.1 : 21000:44	 Issue time: 	1415801528405	 Dep numbers: 	9
127.0.0.1 : 21000:45	 Issue time: 	1415801528410	 Dep numbers: 	17
null	 Ack time: 	1415801528413	 Dep numbers: 	0
null	 Ack time: 	1415801528420	 Dep numbers: 	0
127.0.0.1 : 21000:46	 Issue time: 	1415801528435	 Dep numbers: 	14
null	 Ack time: 	1415801528443	 Dep numbers: 	0
127.0.0.1 : 21000:47	 Issue time: 	1415801528554	 Dep numbers: 	3
127.0.0.1 : 21000:48	 Issue time: 	1415801528557	 Dep numbers: 	40
null	 Ack time: 	1415801528559	 Dep numbers: 	0
127.0.0.1 : 21000:49	 Issue time: 	1415801528574	 Dep numbers: 	1
null	 Ack time: 	1415801528578	 Dep numbers: 	0
null	 Ack time: 	1415801528583	 Dep numbers: 	0
127.0.0.1 : 21000:50	 Issue time: 	1415801528635	 Dep numbers: 	30
null	 Ack time: 	1415801528649	 Dep numbers: 	0
127.0.0.1 : 21000:51	 Issue time: 	1415801528711	 Dep numbers: 	40
null	 Ack time: 	1415801528731	 Dep numbers: 	0
127.0.0.1 : 21000:52	 Issue time: 	1415801528734	 Dep numbers: 	8
null	 Ack time: 	1415801528740	 Dep numbers: 	0
127.0.0.1 : 21000:53	 Issue time: 	1415801528743	 Dep numbers: 	7
null	 Ack time: 	1415801528750	 Dep numbers: 	0
127.0.0.1 : 21000:54	 Issue time: 	1415801528772	 Dep numbers: 	26
null	 Ack time: 	1415801528786	 Dep numbers: 	0
127.0.0.1 : 21000:55	 Issue time: 	1415801528830	 Dep numbers: 	25
127.0.0.1 : 21000:56	 Issue time: 	1415801528839	 Dep numbers: 	19
null	 Ack time: 	1415801528842	 Dep numbers: 	0
127.0.0.1 : 21000:57	 Issue time: 	1415801528848	 Dep numbers: 	35
null	 Ack time: 	1415801528852	 Dep numbers: 	0
